path,layer,count,runtime_used
/home/vitus/floently-finnish/apps/backend/materials/cards/published/floently_general_grammar_cards.json,published_materials,90,yes_via_app.runtime.cards_material_bank
/home/vitus/floently-finnish/apps/backend/materials/cards/published/floently_practical_nurse_grammar_cards.json,published_materials,90,yes_via_app.runtime.cards_material_bank
/home/vitus/floently-finnish/apps/backend/materials/cards/published/general/grammar/a1_a2.json,published_materials,27,yes_via_app.runtime.cards_material_bank
/home/vitus/floently-finnish/apps/backend/materials/cards/published/general/grammar/b1_b2.json,published_materials,57,yes_via_app.runtime.cards_material_bank
/home/vitus/floently-finnish/apps/backend/materials/cards/published/general/grammar/c1_c2.json,published_materials,7,yes_via_app.runtime.cards_material_bank
/home/vitus/floently-finnish/apps/backend/materials/cards/published/general/phrases/a1_a2.json,published_materials,38,yes_via_app.runtime.cards_material_bank
/home/vitus/floently-finnish/apps/backend/materials/cards/published/general/phrases/b1_b2.json,published_materials,33,yes_via_app.runtime.cards_material_bank
/home/vitus/floently-finnish/apps/backend/materials/cards/published/general/words/a1_a2.json,published_materials,7,yes_via_app.runtime.cards_material_bank
/home/vitus/floently-finnish/apps/backend/materials/cards/published/general/words/b1_b2.json,published_materials,13,yes_via_app.runtime.cards_material_bank
/home/vitus/floently-finnish/apps/backend/materials/cards/published/general/words/c1_c2.json,published_materials,1,yes_via_app.runtime.cards_material_bank
/home/vitus/floently-finnish/apps/backend/materials/cards/published/kielitaika_normalized_cards.json,published_materials,1418,yes_via_app.runtime.cards_material_bank
/home/vitus/floently-finnish/apps/backend/materials/cards/published/professional/doctor/grammar/a1_a2.json,published_materials,23,yes_via_app.runtime.cards_material_bank
/home/vitus/floently-finnish/apps/backend/materials/cards/published/professional/doctor/grammar/b1_b2.json,published_materials,35,yes_via_app.runtime.cards_material_bank
/home/vitus/floently-finnish/apps/backend/materials/cards/published/professional/doctor/grammar/c1_c2.json,published_materials,2,yes_via_app.runtime.cards_material_bank
/home/vitus/floently-finnish/apps/backend/materials/cards/published/professional/doctor/phrases/a1_a2.json,published_materials,11,yes_via_app.runtime.cards_material_bank
/home/vitus/floently-finnish/apps/backend/materials/cards/published/professional/doctor/phrases/b1_b2.json,published_materials,1625,yes_via_app.runtime.cards_material_bank
/home/vitus/floently-finnish/apps/backend/materials/cards/published/professional/doctor/words/a1_a2.json,published_materials,69,yes_via_app.runtime.cards_material_bank
/home/vitus/floently-finnish/apps/backend/materials/cards/published/professional/doctor/words/b1_b2.json,published_materials,2901,yes_via_app.runtime.cards_material_bank
/home/vitus/floently-finnish/apps/backend/materials/cards/published/professional/doctor/words/c1_c2.json,published_materials,51,yes_via_app.runtime.cards_material_bank
/home/vitus/floently-finnish/apps/backend/materials/cards/published/professional/nurse/grammar/a1_a2.json,published_materials,45,yes_via_app.runtime.cards_material_bank
/home/vitus/floently-finnish/apps/backend/materials/cards/published/professional/nurse/grammar/b1_b2.json,published_materials,131,yes_via_app.runtime.cards_material_bank
/home/vitus/floently-finnish/apps/backend/materials/cards/published/professional/nurse/grammar/c1_c2.json,published_materials,8,yes_via_app.runtime.cards_material_bank
/home/vitus/floently-finnish/apps/backend/materials/cards/published/professional/nurse/phrases/a1_a2.json,published_materials,85,yes_via_app.runtime.cards_material_bank
/home/vitus/floently-finnish/apps/backend/materials/cards/published/professional/nurse/phrases/b1_b2.json,published_materials,1328,yes_via_app.runtime.cards_material_bank
/home/vitus/floently-finnish/apps/backend/materials/cards/published/professional/nurse/phrases/c1_c2.json,published_materials,14,yes_via_app.runtime.cards_material_bank
/home/vitus/floently-finnish/apps/backend/materials/cards/published/professional/nurse/words/a1_a2.json,published_materials,107,yes_via_app.runtime.cards_material_bank
/home/vitus/floently-finnish/apps/backend/materials/cards/published/professional/nurse/words/b1_b2.json,published_materials,2067,yes_via_app.runtime.cards_material_bank
/home/vitus/floently-finnish/apps/backend/materials/cards/published/professional/practical_nurse/grammar/a1_a2.json,published_materials,27,yes_via_app.runtime.cards_material_bank
/home/vitus/floently-finnish/apps/backend/materials/cards/published/professional/practical_nurse/grammar/b1_b2.json,published_materials,57,yes_via_app.runtime.cards_material_bank
/home/vitus/floently-finnish/apps/backend/materials/cards/published/professional/practical_nurse/grammar/c1_c2.json,published_materials,7,yes_via_app.runtime.cards_material_bank
/home/vitus/floently-finnish/apps/backend/materials/cards/published/professional/practical_nurse/phrases/a1_a2.json,published_materials,18,yes_via_app.runtime.cards_material_bank
/home/vitus/floently-finnish/apps/backend/materials/cards/published/professional/practical_nurse/phrases/b1_b2.json,published_materials,1365,yes_via_app.runtime.cards_material_bank
/home/vitus/floently-finnish/apps/backend/materials/cards/published/professional/practical_nurse/words/b1_b2.json,published_materials,2376,yes_via_app.runtime.cards_material_bank
/home/vitus/floently-finnish/apps/backend/practice/data/cards/doctor_cards.json,legacy_practice_cards,11507,yes_via_app.runtime.cards_material_bank
/home/vitus/floently-finnish/apps/backend/practice/data/cards/lahioitaja_cards.json,legacy_practice_cards,9784,yes_via_app.runtime.cards_material_bank
/home/vitus/floently-finnish/apps/backend/practice/data/cards/nurse_cards.json,legacy_practice_cards,7551,yes_via_app.runtime.cards_material_bank
/home/vitus/floently-finnish/apps/backend/app/cards/output/accepted/accepted_cards.json,accepted_ingestion_output,4,not_used_by_main_cards_router
/home/vitus/floently-finnish/apps/backend/materials/cards/validated/floently_general_grammar_cards.json,validated_materials,90,not_used_by_main_cards_router
