path,change_type,scope,notes
apps/backend/app/services/yki_materials.py,added,pass_5,"Canonical app-owned YKI material path authority"
apps/backend/app/routers/yki_exam.py,modified,pass_5,"Removed repo-root and engine fallback file discovery"
apps/backend/app/routers/admin_yki.py,modified,pass_5,"Removed legacy YKI bank root probing in favor of canonical certified-bank manifest"
docs/cleanup/executed_prompts/cleanup_agent_prompt_pass_5.md,added,pass_5,"Executed prompt normalized into executed_prompts"
docs/cleanup/pass_5_report.md,added,pass_5,"Pass 5 report"
docs/cleanup/pass_5_authority_map.md,added,pass_5,"Pass 5 authority map"
docs/cleanup/pass_5_merge_log.md,added,pass_5,"Pass 5 merge log"
docs/cleanup/pass_5_quarantine_manifest.md,added,pass_5,"Pass 5 quarantine manifest"
docs/cleanup/pass_5_verification_results.md,added,pass_5,"Pass 5 verification record"
docs/cleanup/pass_5_repo_tree_after.txt,added,pass_5,"Pass 5 canonical tree snapshot"
docs/cleanup/pass_5_final_open_items.md,added,pass_5,"Final open items after cleanup"
docs/cleanup/00_cleanup_index.md,added,pass_5,"Final cleanup index with normalized path references"
docs/cleanup/04_group_by_group_merge_log.md,added,pass_5,"Final grouped merge ledger"
docs/cleanup/05_quarantine_manifest.md,added,pass_5,"Final quarantine ledger"
docs/cleanup/07_verification_results.md,added,pass_5,"Final verification ledger"
docs/cleanup/09_final_repo_tree.txt,added,pass_5,"Final repo tree"
docs/cleanup/10_final_verdict.md,added,pass_5,"Final verdict"
docs/cleanup/11_change_inventory.csv,added,pass_5,"Final change inventory CSV"
docs/cleanup/12_change_inventory.json,added,pass_5,"Final change inventory JSON"
docs/cleanup/executed_prompts/cleanup_agent_prompt_pass_4.md,added,preexisting_worktree,"Previously moved Pass 4 prompt preserved in commit"
docs/cleanup/read_reports/pass_4_report.md,added,preexisting_worktree,"Previously moved Pass 4 report preserved in commit"
docs/cleanup/read_reports/pass_4_authority_map.md,added,preexisting_worktree,"Previously moved Pass 4 authority map preserved in commit"
docs/cleanup/read_reports/pass_4_merge_log.md,added,preexisting_worktree,"Previously moved Pass 4 merge log preserved in commit"
docs/cleanup/read_reports/pass_4_quarantine_manifest.md,added,preexisting_worktree,"Previously moved Pass 4 quarantine manifest preserved in commit"
docs/cleanup/read_reports/pass_4_verification_results.md,added,preexisting_worktree,"Previously moved Pass 4 verification results preserved in commit"
docs/cleanup/read_reports/pass_4_repo_tree_after.txt,added,preexisting_worktree,"Previously moved Pass 4 repo tree preserved in commit"
docs/cleanup/read_reports/pass_4_open_items_for_pass_5.md,added,preexisting_worktree,"Previously moved Pass 4 open items preserved in commit"
docs/cleanup/cleanup_agent_prompt_pass_4.md,deleted,preexisting_worktree,"Superseded by executed_prompts location"
docs/cleanup/pass_4_report.md,deleted,preexisting_worktree,"Superseded by read_reports location"
docs/cleanup/pass_4_authority_map.md,deleted,preexisting_worktree,"Superseded by read_reports location"
docs/cleanup/pass_4_merge_log.md,deleted,preexisting_worktree,"Superseded by read_reports location"
docs/cleanup/pass_4_quarantine_manifest.md,deleted,preexisting_worktree,"Superseded by read_reports location"
docs/cleanup/pass_4_verification_results.md,deleted,preexisting_worktree,"Superseded by read_reports location"
docs/cleanup/pass_4_repo_tree_after.txt,deleted,preexisting_worktree,"Superseded by read_reports location"
docs/cleanup/pass_4_open_items_for_pass_5.md,deleted,preexisting_worktree,"Superseded by read_reports location"
apps/backend/puhis.db,modified,preexisting_worktree,"Existing worktree database change committed as requested"
